картер;39-й президент США (родился в 1924, годы президенства 1977-1981, демократ)?
quake;3D шутер
европу;3евс, обратившись в быка, на себе увез ... ?
буш;41-й президент США (родился в 1924, годы президенства 1989-1993, республиканец)?
клинтон;42-й президент США (родился в 1946, годы президенства 1993-2000, демократ)?
алехин;4-й чемпион мира по шахматам?
пеон;4-сложный стих?
катрен;4-стишие сонета?
юниор;Cпортсмен, как правило, в возрасте 19-22 лет?
вирусов;Flash BIOS от компании Chaintech Computer служит для защиты BIOS от ... ?
человек;"Homo homini lupus est. Эта латинская пословица означает: ""... человеку - волк""?"
четвертому;Intel Pentium III принадлежит к ... поколению процессоров (цифра прописью)?
толстой;"Kто был одним из ""отцов"" Козьмы Петровича Пруткова?"
гранж;Sex Pistols - панк, Depeche Mode - техно, Metallica - металл, Nirvana - ...?
аренда;The lease - это ... ?
икс;X?
меншиков;"А плясать злее меня нет в Москве!- похвалялся этот герой романа ""Петр I"" А. Толстого?"
красные;А у индейцев все девки - ...! (Н. Фоменко)?
кобыла;А что, отец - спросил Бендер, - невесты у вас в городе есть? -Кому и ... невеста ?
раба;"А.Герцен: ""Всего меньше эгоизма у ... ""?"
босиком;Абебе Бикила стал Олимпийским чемпионом по бегу, поразив всех тем, что прошел дистанцию ?
урюк;Абрикосы, высушенные целыми, с косточками?
суета;"Абсурдная .. человечества обличена голландским художником Брейгелем Старшим на картине ""Игры детей""?"
чартер;Авиарейс вне расписания?
коала;Австралийский сумчатый медведь, живет на деревьях?
кафка;Австрийский писатель и философ (1883-1924). В своих произведениях в поэтической притчеобразной форме воплотил мотив трагического бессилия человека перед абсурдностью мира. Это Франц ... ?
рапид;Австрийский футбольный клуб?
князь;Автоpитетный воp-pецидивист, стоящий во главе пpеступной гpуппы?
проездной;Автобусный и троллейбусный билет на месяц?
автопилот;Автомат, управляющий самолётом?
тува;Автономия России?
хакасия;Автономия России?
андалусия;Автономная область на юге страны (административный центр - г. Севилья)?
домкрат;Автоподъемник?
грибоедов;"Автор ""Горя от ума""?"
минкус;"Автор балета ""Дон Кихот""?"
пушкин;"Автор драматического произведения ""Моцарт и Сальери""?"
теннисон;"Автор знаменитого девиза ""Бороться и искать, найти и не сдаваться!""?"
кизяков;"Автор и ведущий телепрограммы, которая по его словам ""даже идя из гостей, идет в гости""?"
газманов;"Автор и исполнитель песен ""Господа офицеры"", ""Москва""?"
щедрин;"Автор картины ""Грот в Сорренто с видом на Везувий""?"
хлебников;"Автор классического образца заумного языка: ""Дыр бул щыл убещур..."" - Велемир ... ?"
коржаков;"Автор книги ""Борис Ельцин: от рассвета до заката""?"
смирнов;"Автор книги ""Брестская крепость""?"
коржаков;Автор книги ''Борис Ельцин: от рассвета до заката''?
зацепин;"Автор музыки к кинофильмам ""Кавказская пленница"", ""Бриллиантовая рука""?"
бондарев;"Автор повести ""Последние залпы"", романа ""Горячий снег"" (экранизированы)?"
твен;Автор повести о Томе Сойере?
гесиод;"Автор поэмы ""Теогония"" о происхождении греческих богов?"
пушкин;"Автор произведения ""Сказка о царе Салтане""?"
пушкин;"Автор произведения ""Скупой рыцарь""?"
дефо;"Автор романа ""Робинзон Крузо""?"
ницше;"Автор сочинения ""Так говорил Заратустра""?"
рязанов;"Автор стихов ""У природы нет плохой погоды""?"
эрдман;"Автор сценария к кинофильму ""Волга-Волга""?"
верник;"Автор телепередачи ""Кто там..."" на канале ""Культура""?"
даль;Автор толкового словаря живого великорусского русского языка?
карелин;"Автор экранизированного романа ""Змеелов""?"
аппетит;"Автор этой фразы епископ Жером де Анже, а известной всем она стала благодаря Франсуа Рабле: ""... приходит во время еды""?"
гоголь;"Автор, у кого впервые прозвучало выражение ""Из прекрасного далека""?"
копирайт;Авторское право?
магистраль;Автострада, железная дорога?
дорога;Автотрасса, проезжая часть?
барбаросс;Агрессия германии против СССР 1941 год?
барбаросса;Агрессия германии против СССР 1941 год?
волость;Адм.-тер.единица ,подразделение уезда в России?
весь;Админ.-территор. единица Российской империи?
деканат;Административно-учебное управление факультета?
отцом;"Адмирал Ветлугин из повести К.Станюковича ""Грозный адмирал"" приходится автору ... ?"
ришелье;Ажурная машинная вышивка?
водкой;Азиaтский oрoситeльный канaл?
зебу;Азиатский домашний скот, выведенный из индийского тура. (Лама, Зебу, Зубр, Лаху)?
конфуций;"Азиатский мыслитель, автор рассуждения: ""Побороть дурные привычки легче сегодня, чем завтра""?"
арык;Азиатский оросительный канал?
аммофос;Азотное удобрение, NH4H2PO4 и (NH4)2HPO4 :)?
закон;Акт выcшeгo оpгана гocyдapcтвеннoй влaсти
иствуд;"Актер - герой лучших вестернов 60-х годов, обладатель множества оскаров и режиссер фильма ""Непрощенный"". Увлекается гольфом, владеет рестораном ""Гольф"", а также выпускает спортивную одежду под маркой TEHAMA?"
гир;"Актер , любитель ""Красоток"" и проституток?"
сталлоне;"Актер , совладелец сети ресторанов ""Планета Голливуд""?"
броневой;"Актер театра и кино, исполнитель роли Мюллера в телесериале ""Семнадцать мгновений весны""?"
тихонов;"Актер, исполнивший роль Штирлица в фильме ""Семнадцать мгновений весны""?"
рурк;"Актер, которого хватило только на ""9 1/2 недель""?"
беренджер;"Актер, который снимался в главной роли в фильме ""Конвой""?"
карцев;"Актер, у героя которого Шариков в Домкоме взял 7 рублей ""на покупку учебников""?"
николсон;"Актер-суперзвезда ""Бетмэн"", ""Сияние"", ""Волк""?"
берике;Актеры груз. нар. театра масок?
апологет;Активный сторонник учения?
дзюдо;Активный сторонник учения?
минорская;"Актриса вахтанговской школы, исполнившая роль Настасьи Филипповны в спектакле театра и в фильме И. Пырьева ""Идиот""?"
касаткина;"Актриса, снимавшаяся в телефильме ""Операция""Трест""?"
денев;"Актриса, ставшая известной после выхода на экран фильма ""Шербурские зонтики""?"
жаров;Акттер который сыграл Анискина?
пьяница;Алкоголик?
авокадо;Аллигаторова груша - вечнозеленое дерево семейства лавровых со съедобными плодами?
регент;Алмаз, принадлежавший Людовику XV, который Наполеон велел вправить в эфес своей шпаги?
подвески;"Алмазное украшение, из-за которого разгорелся сыр-бор в ""Трех мушкетерах""?"
подвески;"Алмазное украшение, из-за которого разгорелся сыр-бор в ""Трех мушкетерах""?"
кумач;Алое полотнище?
приливов;Альтернативные источники энергии - энергия ветра, солнечная, ... ?
бета;Альфа , а дальше?
иния;Амазонский речной дельфин?
коп;Амер. полицейский?
ранчо;Амер. ферма?
парселл;Амер.физик,Нобелевск.лауреат 1952 г.?
сша;Америка?
льюис;Американец, ставший чемпионом Олимпийских игр?
джексон;Американец, суперзвезда мировой эстрады?
биллборд;Американск. музыкальный еженедельник?
винчестер;Американска оружейная фирма?
викинг;Американская межпланетная станция?
хаббл;Американский астроном (1889 - 1953). Доказал звездную природу внегалактических туманностей, установил закономерность разлета галактик. В его честь назван американский космический телескоп. Кто он?
твист;Американский бальный танец?
херши;Американский генетик и вирусолог. Нобелевская премия (1969, совместно с М. Дельбрюком и С. Э. Лурия).?
хьюлетт;Американский инженер, специалист в области электроники (Hewlett-Packard)?
кольт;Американский Калашников?
ровер;Американский луноход?
кириллова;"Американский певец Стинг в начале песни ""Русские"" использовал голос ... ?"
купер;"Американский писатель XIX века, автор романа ""последний из могикан""?"
ирвинг;Американский писатель, зачинатель американского романтизма, автор жизнеописаний Колумба, Вашингтона.
тарантино;"Американский режиссер и актер, ""заполонивший"" экраны ""Криминальным чтивом""?"
льюис;Американский спортсмен легкоатлет, многократный чемпион мира в беге на короткие дистанции?
ленгмюр;Американский физик и физикохимик (1881-1957, Нобелевск.премия 1932)?
вильсон;Американский физик, лауреат Нобелевской премии?
майкельсон;Американский физик. Нобелевская премия (1907).?
льюис;Американский философ-основоположник современной модальной логики?
таубе;Американский химик, Нобелевская премия 1983?
браун;Американский химик. Нобелевская премия (1979, совместно с Г. Виттигом).?
каролина;Американский штат?
твистер;Американский экс-министр и миллионер, не сумевший снять гостиничный номер в Ленинграде?
фишер;Американский экс-чемпион мира по шахматам?
бинго;Американское лото?
попкорн;"Американское ""детище"" на каждом московском углу, которому порадовался бы генсек Хрущев?"
ельцин;Анаграмма - недавняя знаменитость: ЬЕНЛИЦ?
иблис;Аналогом нашего Люцифера в Исламе является?
аппетитом;"Анатоль Франс сформулировал так называемый ""закон интереса"": ""Чтобы переварить знания, надо поглощать их с ..."" . Конец фразы?"
сосуды;Ангиолог внимательно изучает ... ?
херриот;Англ. ветеринарный врач и писатель?
рассел;Англ. философ, логик, математик. Нобелевская премия по литературе (1950).?
грейхаунд;Английская борзая?
тори;Английская политическая партия, прародительница нынешней консервативной.
тори;Английская политическая партия, прародительница нынешней консервативной?
дрейк;Английский мореплаватель 16 века?
паб;Английский пивной бар?
лили;"Английский писатель. Роман ""Эвфуэс и его Англия""?"
веллингтон;Английский полководец и государственный деятель. В войне против Наполеона I командовал английскими войсками на Пиренейском полуострове и в битве при Ватерлоо?
япония;Английский путешественник Ватсон сказал, что если вы побыли там шесть недель - вы все понимаете. Через шесть месяцев вы начнете сомневаться. Через шесть лет вы ни в чем не уверены. Что это за страна?
стоун;Английский ученый, лауреат Нобелевской премии по экономике?
собаки;"Английский юморист Джером Капка Джером написал ""Трое в лодке, не считая ...""?"
грог;Англичане его пьют горячим?
куинси;Англичанин, слывущий предшественником декадентства?
доброжелатель;Анонимку чаще всего подписывает ... ?
секстет;Ансамбль музыкантов?
квартет;Ансамбль из 4 исполнителей?
учитель;Антагонист Вовочки?
зима;Антипод лета?
колесница;Античная квадрига - это ... ?
учить;"Антон Палыч Чехов однажды заметил, что ""умный любит учиться, а дурак ... ""?"
вонь;Антоним аромат?
порядок;Антоним бардак, беспорядок?
дальность;Антоним близости?
прошлый;Антоним будущий?
посадка;Антоним взлет?
никто;Антоним все?
ясный;Антоним пасмурный?
одевать;Антоним раздевать?
продление;Антоним сокращение?
хамса;Анчоус?
лука;Апостол-евангелист из числа 70 апостолов, призванных Христом помимо 12-ти?
марк;Апостол-евангелист из числа 70 апостолов, призванных Христом помимо 12-ти?
иоанн;Апостол-евангелист, из числа 12-ти, наиболее любимый Христом, сын Зеведеев, брат Иакова. Позже всех написал свое Евангелие. Имел прозвище Богослов?
маслобойка;Аппарат для сбивания животного масла?
инкубатор;Аппарат для искусственного выведения цыплят, утят и т.д. из яиц?
молчания;"Арабская поговорка гласит: ""Лучший язык - тщательно сдерживаемый, а лучшая речь - тщательно обдуманная. Когда ты говоришь, слова твои должны быть лучше..."". Чего?"
халифат;Арабское государство в 7-9 веков?
модфа;Арабское ручное огнестрельное оружие?
гарем;Арабы называют это место запретным. Что это?
пауков;Арахнофобия - это боязнь ... ?
делая;"Аристотель писал: ""Тому, что мы должны научиться делать, мы учимся ...""?"
парад;Армейская показуха?
сотник;Армейский чин в дореволюционной России 10-го класса (с 1884)?
хорунжий;Армейский чин в дореволюционной России 12-го класса (с 1884)?
аншеф;Армейский чин в дореволюционной России 2-го класса - Генерал-... ?
бригадир;Армейский чин в дореволюционной России 5-го класса?
капитан;Армейский чин в дореволюционной России 8-го класса (с 1884)?
наполеон;Армия княжества Лихтенштейн, насчитывавшая 82 человека была распущена князем Лихтенштейна после того, как не смогла защитить страну от иностранного вторжения. Кто был полководцем, осуществившим это вторжение?
вермахт;Армия фашистской Германии в 1935-45?
вермут;Ароматизированное вино, настоенное на травах?
ладан;Ароматическая смола?
ладан;Ароматические смолы, возгоняемые в кадиле на горящих углях?
люнет;Арочный проем в своде стены ?
водяной;Артист оперетты и киноактер, народный артист СССР (Украина)?
мамонтов;Архидискодоны это предки ... ?
гулаг;Архипелаг, о котором написал Солженицын?
тон;Архитектор построивший Большой Кремлевский дворец?
кваренги;Архитектор, автор проекта здания смольного института?
арка;Архитектурное сооружение, строящееся обычно в честь победы?
останкино;Архитектурно-художественный ансамбль, в котром находится дворец-музей творчества русских крепостных?
фуст;Архитектурный стержень колонны?
готика;"Архитектурный стиль, который современники называли ""варварским""?"
барокко;Архитектурный стиль?
сегодня;"Ассоциация Анонимных Алкоголиков считает, что любая перспективная программа излечения мучительна для пациентов. Поэтому они говорят: ""Вы должны продержаться только один день."" Какой?"
сегодняшний;"Ассоциация Анонимных Алкоголиков считает, что любая перспективная программа излечения мучительна для пациентов. Поэтому они говорят: ""Вы должны продержаться только один день."" Какой?"
струве;Астроном и геодезист, основатель и первый директор Пулковской обсерватории (1793 - 1864). Установил наличие поглощения света в межзвездном пространстве. Кто он?
укус;Атака насекомого?
смехов;Атос, Портос, Арамис, Д'Артаньян. Смирнитский, Старыгин, Боярский и ... ?
арфа;Атрибут бога ветра в Древней Греции - это ... ?
тщеславие;"Афоризм: ""Каждый человек стоит столько, сколько он сделал, минус :""?"
макака;Африканская обезьяна?
галич;Ах, как шаг мы печатали браво, Как легко мы прощали долги! Позабыв, что движенье направо, Начинается с левой ноги. - автор?
штрауса;Аэропорт в Мюнхене носит имя Франц Йозефа ... ?
ханталы;Аэропорт Грозного?
расходовать;"Б. Авербах считал: ""Нажить много денег - храбрость, сохранить их - мудрость, а умело ... - искусство""?"
индейка;Б. Франклин сожалел, что символом Америки выбрали белого орлана, а не более почтенную птицу. Какая это птица?
кошара;Бoльшaя шашлычнaя для изгoлoдавшегoся волкa?
бмс;Бpодяга местного сообщения?
ретро;Бабушкин стиль с точки зрения внука?
сундук;Бабушкино хранилище?
маскарад;Бал, гулянье, участники которого надевают маски, характерные костюмы?
спартак;Балет А.Хачатуряна?
мазурка;Бальный танец?
танго;Бальный танец?
панда;Бамбуковый медведь?
гангстер;Бандит, участник преступной группировки (амер.)?
сговор;Бандитское приглашение?
сандуны;Бани, ставшие известной московской достопримечательностью?
сандуны;Бани, ставшие известной московской достопримечательностью?
инкассо;Банковская операция?
стругацких;Барон Пампа дон Бау, вращая двуручный меч над головою, поражал воображение. Он описан у ... ?
лиса;Басня И.Крылова?
мешок;Басня Крылова?
свинья;Басня Крылова?
сабо;Башмаки из дерева?
сухаревской;"Башня Сююмбеки в Казани показалась Т. Шевченко ""единоутробной сестрой"" ... ?"
грифонаж;Беглые набрски наполях рукописей?
репатриант;Беженец, военопленный?
грамматической;Без ... ошибки я русской речи не люблю.  Какую ошибку имел ввиду Пушкин?
грамматическую;Без ... ошибки я русской речи не люблю.  Какую ошибку имел ввиду Пушкин?
труда;Без ..., не вытащить и рыбку из пруда?
драка;Без неё на свадьбе скучно?
полис;Без этого документа вас не примут в поликлинике?
догма;Безапелляционная истина?
инертность;Бездеятельность, отсутствие активности, равнодушие?
веселье;Беззаботно-радостное настроение?
степь;Безлесная равнина?
фарватер;Безопасный судовой ход, обозначенный бакенами, створными знаками и пр?
инстинкт;Безотчетное побуждение к чему-либо?
равнодушие;Безразличие?
молодечество;Безудержная смелость?
парус;Белеющий в тумане, одинокий?
инсулин;Белковый гормон животных и человека, который вырабатывается поджелудочной железой. Его недостаток приводит к сахарному диабету?
алиготе;Белое марочное вино ?
гжель;Бело-синий русский народный промысел?
батон;Белый хлеб продолговатой формы?
экипаж;Береговая воинская часть флота для приема и размещения прибывающего пополнения?
туес;Берестяной короб, лучшая из тар под мед и ягоды?
интервью;Беседа журналиста с одним или несколькими лицами по актуальным вопросам?
замяукал;Бесенок из сказки Пушкина, разговаривая с Балдой, ... ?
червь;Бескостное ползающее животное с вытянутым телом?
халява;Бесплатная приятная неожиданность?
тэтчер;Бесплатный сыр бывает только в мышеловке. Эти слова принадлежат?
хаос;Беспорядок, неразбериха?
ералаш;Беспорядок, путаница, неразбериха?
круговорот;Беспрерывное движение?
паниковский;"Бессмертную фразу ""Пилите, Шура, пилите!"" в романе ""Золотой теленок"" произнес ... ?"
абсурд;Бессмыслица, нелепость?
либидо;Бессознательное половое влечение?
кома;Бессознательное состояние, похожее на глубокий сон, вызванное травмой черепа, отравлением?
кома;Бессознательное состояние с расстройством функций всех органов чувств?
декалин;Бесцветная жидкость (растворитель, заменитель живицы)?
кукан;Бечева, на которую рыбак нанизывает пойманную рыбку (разг.)?
самсон;Библейский богатырь?
могила;Библиотаф - шутливое название обладателя библиотеки, не позволяющего другим пользоваться ее книгами. Biblio - книга,а как переводится греческое слово tafos?
теневик;"Бизнесмен, не желающий ""светиться""?"
воплем;Биологи из Санта-Крус установили, что киты во время охоты вызывают у анчоусов кровоизлияние. Каким образом?
дичина;Битый охотничий трофей?
ромео;"Благодаря 20 000 франкам, которые великий итальянец Никколо Паганини подарил французскому композитору Гектору Берлиозу, последний смог спокойно поработать над драматической симфонией ""... и Юлия""?"
укороченная;Благодаря телевидению изменились правила волейбола. Была введена партия, которая называется ... ?
стегно;Благозвучное название задней части туши?
польза;Благоприятные последствия, перевешивающие отрицательные результаты одного и того же дела?
яшма;Благоприятный камень по зодиаку для дев?
аромат;Благоухание?
нирвана;Блаженное состояние души индуса?
поганка;"Бледная соратница ""цветущего"" мухомора, намного превосходящая его по злокозненности?"
дюплесси;"Блестящая парижская куртизанка, послужившая прототипом для героини ""Дамы с камелиями"" А. Дюма-сына - это Мари ... ?"
солнце;Ближайшая к Земле звезда-карлик спектрального класса G2?
нарцисс;Ближайший родственник подснежника?
кейптаун;Близ Мыса Доброй Надежды расположен город ... ?
скорсезе;"Близкие друзья зовут его ""Марти"", а нам он известен под фамилией?"
шашлык;Блюдо груз. кухни?
граус;Блюдо для лордов из куропатки в английской кухне?
плов;Блюдо из риса у народов Средней Азии и Закавказья?
заливное;"Блюдо из рыбы, оказавшееся ""гадостью"" в к/ф ""Ирония судьбы""?"
консерватор;Блюститель старых, проверенных порядков, противник перемен и новых веяний?
соя;Бобовое растение, из которого делают хотя и невкусное, зато постное масло?
вакх;Бог вина и веселья?
эскулап;Бог врачевания в римской мифологии, в ироническом смысле ставший нарицательным прозвищем для любого врача?
озирис;"Бог египтян, о котором Бездомный, надо полагать, впервые услышал от Берлиоза на Патриарших прудах (""Мастер и Маргарита"" М. Булгакова"")?"
адонис;Бог плодородия у финикийцев и греков?
полтава;Богат и славен Кочубей! - утверждал Пушкин в поэме ... ?
палаты;Богатое здание в древнерусской архитетуре с большим количеством помещений?
вилла;Богатый загородный дом с усадьбой, парком?
селена;Богиня Луны в греческой мифологии, отождествлявшаяся с Артемидой(иногда изображавшейся с полумесяцем на голове)?
афина;Богиня мудрости?
фемида;Богиня правосудия в греческой мифологии. Изображалась с повязкой на глазах (символ беспристрастия), с рогом изобилия и весами в руках?
варшавянка;Боевая песня польских и русских революционеров конца 19 века?
крейсер;Боевой кораабль?
лава;Боевой порядок у казаков?
триера;Боевой корабль в Древней Греции, главным оружием которого был таран?
снаряд;Боеприпас для стрельбы?
наган;Боец изрядный - барабан семизарядный?
харизма;Божественный дар, исключительность?
коррида;Бой быков?
котел;БОЙЛЕР ?
пловдив;Болгария (город в Европе)?
пипков;"Болгарский композитор (оперы ""Момчил"",""Антигона-43""). Фамилия чем-то напоминет легендарного Васю Пупкина?"
гадулка;Болгарский смычковый инструмент?
полип;Болезненное разрастание эпителия слизистой оболочки?
малокровие;Болезнь, главное проявление которой - уменьшение эритроцитов в крови?
баклан;Болотная птица?
росянка;Болотное насекомоядное растение?
клиника;Больница, в которой ведутся научные медицинские исследования?
дегенерат;Больной с признаками физ. или психич. вырождения?
астма;Больным этой болезнью полезно находиться в помещении, специально отделанном солью. Что за болезнь?
ворон;Большая всеядная птица, с блестящим черным оперением?
шатер;Большая палатка шамана?
контраст;Большая разница в чём-либо, резкая противоположность?
дубина;Большая-пребольшая палка?
помада;Большинство женщин пользуются и съедают. Мужчины не пользуются, но тоже съедают - до 15 кг за жизнь?
трюмо;Большое зеркало?
чувство;Большое и чистое, но не слон после бани :) ?
арсенал;Большое количество чего-либо, большой запас(часто применительно к боеприпасам)?
армада;Большое соединение кораблей, танков, самолетов?
армада;Большое количество кораблей?
эклиптика;Большой круг небесной сферы, по которому происходит видимое годичное движение Солнца?
рака;Большой ларец для хранения святых мощей называется?
специалист;Большой мастер своего дела?
торжество;Большой праздник в честь какого-либо события?
парк;Большой сад?
скирд;Большой стог сена?
палтус;Большущая камбала?
луны;"Борис Пильняк написал о судьбе Фрунзе ""Повесть непогашенной ...""?"
запад;Бочка с женой и сыном царя Салтана поплыла на ... ?
диоген;Бочковый древнегреческий философ, чем и прославился?
лото;Бочоночная игра?
зико;Браз. футболист?
роналдо;"Бразилец, самый ""дорогой"" на сегодня футболист планеты?"
роналдо;Бразилец, самый ''дорогой'' на сегодня футболист планеты.
талант;Брат краткости?
гаврила;"Брата Иванушки Петровича из сказки ""Конек-горбунок"" звали ... ?"
киплинг;Бремя белого человека - автор?
беремя;Бремя, тяжесть, ноша (в прямом и перен. смыслах, устар.)?
язык;Бриджит Бордо, стеснялась публично демонстрировать одну часть тела. Что это?
кошкой;Британскую королеву Елизавету I, сорок лет сидевшую на троне, враги называли рыжей ... ?
скоморох;Бродячий комедиант в Древней Русси?
мельница;Бросок в борьбе с захватом руки и ноги?
бушприт;Брус для носовых парусов на судне?
форштевень;Брус по контуру носового заострения судна?
балка;Брус, опирающийся на стены  в нескольких точках?
балка;Брус, опирающийся на стены в нескольких точках?
шашка;Брусок поперечно разрезанного бревна?
портки;"Брюки ""без роду, без племени""?"
тиф;Брюшной ?
феллини;Будущий корифей кино в 1943г., он, начинающий карикатурист, написал серию передач для Римского радио. Кто он?
десять;Будущий российский ученый А. Шахматов был знаменит тем что написал две книги уже в ... лет?
мозамбика;Будущую звезду футбола Эйсебио привезли в Португалию из саванны ... ?
набег;"Буйный повод, за который вещий Олег обрек хазарские ""селы и нивы"" мечам и пожарам?"
